old_id,new_id
35405,122
35477,457
108456,802
91395,342
31933,321
104322,781
108492,320
110603,328
96215,507
77784,322
114444,328
102086,757
4945,1051
101590,77
119101,77
102589,77
33214,457
34214,457
35989,457
125642,958
25230,392
40670,392
85813,342
95071,429
95022,429
95272,429
42570,46
115152,46
90641,908
123628,252
69920,347
120766,462
101826,161
101266,161
100049,161
101270,161
101140,161
101808,161
101032,161
100054,161
101877,161
102202,161
100214,161
101936,161
99188,161
99962,161
97787,161
97789,161
101654,161
102034,161
101133,161
97821,161
101087,161
101084,161
101036,161
4826,1039
77097,1039
46824,753
62890,471
18040,471
48481,471
57531,471
66308,471
63046,471
44591,471
65398,471
103624,471
69449,471
25198,959
126941,959
77912,959
44774,959
30825,959
76442,430
61593,430
123877,430
70959,430
93649,311
33669,311
111505,311
54999,311
58407,311
75221,311
127710,311
111407,311
120378,311
31279,311
127808,311
48368,311
79744,311
111507,311
93147,311
106148,311
92496,311
120550,311
106568,311
93670,311
49690,311
106320,311
78910,311
103094,311
57605,311
83232,311
100595,311
27733,311
127165,311
102995,311
50392,311
126862,311
120552,311
92673,311
52905,311
30259,311
106348,311
66119,311
106670,311
127157,311
59067,311
102374,311
127912,311
120274,311
110252,311
111363,311
120367,311
110155,311
105753,311
120369,311
127472,311
105797,311
109355,311
77065,308
63136,308
122463,308
29544,1028
73983,39
47030,321
47140,321
47110,321
47039,321
119236,84
89944,489
84736,848
93279,1585
48353,1585
114090,912
114447,1544
114097,1544
114099,912
114009,912
114095,912
113159,912
114088,912
125172,966
125170,966
121314,973
68849,973
122731,397
19483,592
64914,592
60218,770
71189,464
113446,436
113499,436
80739,436
120256,436
85525,436
7227,436
25356,1010
123870,912
113674,912
126870,1585
87650,1008
5370,1008
5499,531
80881,531
5422,413
83306,413
4156,1025
4800,335
5384,1584
5308,969
4746,989
47566,1585
45823,1585
47152,1585
5541,453
77675,453
5558,639
4888,409
5599,571
4067,493
4160,639
5168,401
84992,401
5211,402
5010,573
25354,541
5542,552
24178,552
126920,987
5613,835
113607,912
123721,912
123679,912
4893,912
123829,912
123845,912
114045,912
113613,912
113612,912
123897,912
114091,912
117986,912
5524,222
5600,981
5583,725
76966,968
5303,968
77122,968
4309,1032
86335,1032
5148,677
4842,1579
4063,41
5409,868
4082,498
3995,460
4410,555
5320,949
5408,559
5611,418
5337,411
5569,676
4434,194
5307,89
5560,805
124011,397
5386,397
4957,1035
18197,974
5356,974
76856,107
5570,107
5387,533
4538,509
3956,445
5334,1583
4835,700
76314,700
5492,934
77027,543
5559,543
3957,446
4886,339
18794,460
4268,460
4754,869
5335,972
5355,415
5631,737
5150,660
4576,189
78072,528
4227,528
5502,686
3985,455
4589,712
85702,1029
4415,1029
4382,966
3947,1016
5425,685
3921,971
4517,1027
83903,591
4666,591
5642,1040
123570,551
5365,479
5617,414
5567,877
118131,912
113673,912
5528,978
5392,933
3905,541
5606,1005
5256,210
4090,773
76093,773
118223,773
5572,980
4011,468
25368,969
35060,998
25334,414
5090,878
20580,998
5639,196
4571,770
67809,471
124237,471
69041,471
60596,471
22493,959
70499,430
67258,430
36945,311
65813,311
111175,311
67684,311
120568,311
127214,311
51718,311
106221,311
72300,311
70768,311
71988,311
127179,311
127169,311
51385,311
93730,311
111426,311
30276,311
76128,311
120281,311
62747,311
106206,311
120387,311
118821,311
92759,311
106019,311
79938,311
127730,311
106505,311
52311,311
86306,311
111489,311
58504,311
74242,311
79507,311
73272,311
52414,311
95790,311
122279,311
90666,311
90415,311
56385,311
4806,1043
73041,443
84506,43
45057,43
32010,43
18670,592
101111,161
100999,161
101813,161
101021,161
99749,161
46138,161
83646,1026
37743,1026
79892,1026
83672,1026
70172,1026
101447,161
87506,835
24982,592
66999,592
93319,281
43905,500
46564,500
91596,872
5000,872
84581,872
118826,872
4100,843
4088,1222
47038,321
43725,321
46909,321
47101,321
46986,321
31905,321
44362,321
47045,321
61099,321
46815,321
66989,321
47171,321
43374,321
31902,321
52448,321
47102,321
59918,321
47909,321
125450,321
60930,321
46861,321
62640,321
47137,321
60927,321
64103,321
47075,321
47029,321
47132,321
61038,321
127331,321
56596,321
47087,321
45235,321
46801,321
61037,321
44727,321
39444,1124
71183,753
104250,322
54953,322
54946,753
52306,753
97726,39
126859,39
115819,39
124700,39
47081,321
25191,321
46669,321
42656,321
47217,321
36294,321
19353,321
47287,321
46865,321
47057,321
33926,321
35831,321
47233,321
24601,321
24609,321
47363,321
46674,321
45216,321
14807,321
14005,321
39663,321
86782,249
44438,249
87449,249
39433,249
36850,322
33951,322
36955,322
105769,322
60498,322
29105,322
110593,322
61858,322
30247,322
30348,322
32763,322
37140,322
120541,322
117407,322
110238,322
124914,322
105975,322
60105,322
50165,322
32981,322
93202,322
110366,322
111523,322
31889,322
36579,322
44611,322
49660,322
49483,322
73797,322
106511,322
110236,753
47162,321
31919,322
78420,322
31943,322
110089,322
105835,322
33628,322
30982,322
33766,1195
37563,753
36872,753
55318,753
24843,753
55042,753
52645,753
39986,753
39745,753
43506,753
44486,39
55064,39
53498,39
98920,39
82851,471
44899,471
79397,471
40543,321
47052,321
24219,321
46751,321
41066,321
56602,321
46735,321
93345,321
35120,321
42888,321
46233,321
47256,321
42691,321
46025,321
26134,321
46862,321
45722,321
45724,321
64117,321
45532,321
45648,321
45900,321
46435,321
43132,321
26223,321
45395,321
56658,321
16747,321
24206,321
36289,321
46812,321
46079,321
48884,321
64056,321
46020,321
25153,321
26859,321
46731,321
25795,321
44678,321
47165,321
45211,321
31922,321
61036,321
24477,321
27831,321
30394,321
27318,321
47139,321
56426,321
47002,321
47206,321
45159,321
20060,321
13862,321
45237,321
45215,321
27851,321
24962,321
31512,321
25900,321
56601,321
36762,321
25928,321
46804,321
61035,321
24967,321
41418,249
34422,249
64038,249
89955,249
91270,249
89452,249
91380,249
85359,249
85348,249
33028,249
91136,249
75925,249
32604,322
60134,322
105870,322
35324,322
75150,322
35082,322
111528,322
33411,322
109965,322
35329,322
49460,322
86101,322
58937,322
59943,322
59941,322
106288,322
35017,322
33582,322
106050,322
110022,322
33665,322
30899,322
33715,322
75767,322
33023,322
33027,322
110011,322
74994,322
49474,322
107480,322
102806,322
60075,322
109986,322
35090,322
31062,322
72958,322
111478,322
49478,322
45482,322
30395,322
102674,322
30649,322
36208,322
30249,322
30350,322
66797,322
120558,322
35943,322
30255,322
36864,322
60279,322
107215,322
36773,322
106664,322
106195,322
106865,322
106216,322
36771,322
68274,322
35764,322
30672,322
31782,322
106153,322
31107,322
103658,322
36489,322
120683,322
44810,322
60179,322
105897,322
31287,322
31316,322
59781,322
33179,322
30342,322
33885,322
58233,322
102447,322
37004,322
31300,322
111319,322
60063,322
54151,249
88364,1612
4658,1612
3953,1330
5436,371
5281,1482
46911,321
46807,321
61033,321
36552,321
4295,898
4266,1105
5373,1241
86905,84
76614,84
115546,84
125154,84
109034,84
61004,489
86245,489
61003,489
86259,489
61007,489
89395,489
89903,489
85288,489
85297,489
48108,489
85290,489
85897,489
86947,489
85294,489
94387,489
113861,84
116514,84
72140,489
87098,489
86207,489
84315,489
102292,177
101879,177
